#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	stats
#open	2017-01-06-19-03-38
#fields	ts	peer	mem	pkts_proc	bytes_recv	pkts_dropped	pkts_link	pkt_lag	events_proc	events_queued	active_tcp_conns	active_udp_conns	active_icmp_conns	tcp_conns	udp_conns	icmp_conns	timers	active_timers	files	active_files	dns_requests	active_dns_requests	reassem_tcp_size	reassem_file_size	reassem_frag_size	reassem_unknown_size
#types	time	string	count	count	count	count	count	interval	count	count	count	count	count	count	count	count	count	count	count	count	count	count	count	count	count	count
1258569167.087257	bro	55	2	1524	-	-	-	406	15	1	0	0	1	0	0	36	32	0	0	0	0	1408	0	0	0
1258569469.460219	bro	59	1053	789179	-	-	-	1065	1064	2	2	0	11	22	0	633	38	4	0	0	0	0	0	0	0
1258569771.720013	bro	59	882	711091	-	-	-	638	636	1	0	0	5	6	0	526	33	0	0	0	0	0	0	0	0
1258570073.023960	bro	60	1110	827850	-	-	-	1253	1253	1	1	0	12	7	0	592	35	2	0	0	0	0	0	0	0
1258570380.551144	bro	60	887	705911	-	-	-	694	694	1	0	0	5	9	0	547	33	0	0	0	0	0	0	0	0
1258570682.022425	bro	60	1142	858365	-	-	-	1052	1054	1	2	0	9	30	0	649	33	1	0	0	0	0	0	0	0
1258570983.914402	bro	60	752	606628	-	-	-	588	585	1	1	0	3	7	0	538	36	0	0	0	0	0	0	0	0
1258571283.914410	bro	60	648	518720	-	-	-	537	540	1	1	0	6	7	0	514	34	1	0	0	0	0	0	0	0
1258571590.535718	bro	60	767	637985	-	-	-	630	627	1	2	0	3	12	0	545	37	0	0	0	0	0	0	0	0
1258571891.133302	bro	61	1704	1186520	-	-	-	2201	2204	3	1	0	39	26	0	759	43	17	0	0	0	0	0	0	0
1258572194.276536	bro	61	757	623672	-	-	-	569	568	1	0	0	6	7	0	567	32	0	0	0	0	0	0	0	0
1258572496.255762	bro	61	781	586656	-	-	-	741	737	1	0	0	8	12	0	559	36	0	0	0	0	8064	0	0	0
1258572798.238973	bro	61	540	468428	-	-	-	401	405	1	1	0	2	6	0	498	33	0	0	0	0	0	0	0	0
1258573099.184594	bro	61	851	651666	-	-	-	857	859	1	1	0	7	23	0	576	37	2	0	0	0	0	0	0	0
1258573402.759316	bro	61	823	665503	-	-	-	602	599	1	0	0	4	6	0	507	33	0	0	0	0	0	0	0	0
1258573703.485081	bro	61	738	509057	-	-	-	945	947	1	2	0	12	11	0	507	37	2	0	0	0	0	0	0	0
1258574013.914421	bro	61	122	60891	-	-	-	181	180	0	1	0	2	6	0	321	32	0	0	0	0	0	0	0	0
